bell_id,strike_num,file,f_hum,f_prime,f_tierce,f_quint,f_nominal,tierce_type,tierce_cents,t60,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_flatness,tuning_deviation_cents,strength
evangelical_church,evangelical_church_strike008.flac,evangelical_church_strike008.flac,,82.03125,,111.328125,,,,30.0,1142.773509306525,2414.6734919839814,1665.922619047619,4.059526327182539e-05,,0.458
gruner_markt,gruner_markt_strike075.flac,gruner_markt_strike075.flac,,52.734375,,87.890625,,,,30.0,926.2004049403172,1542.5525157685458,1463.5957792207791,4.265613097231835e-05,,1.0
gruner_markt,gruner_markt_strike042.flac,gruner_markt_strike042.flac,,70.3125,,111.328125,152.34375,,,30.0,1071.5448913254097,1409.6576204750695,1676.4204545454545,6.979594036238268e-05,,0.309
gruner_markt,gruner_markt_strike139.flac,gruner_markt_strike139.flac,,193.359375,228.515625,275.390625,392.578125,minor,289.209719404554,,887.2409322598351,1264.3548795005,1469.6834415584417,1.1575088137760758e-05,10.790280595446006,0.305
gruner_markt,gruner_markt_strike132.flac,gruner_markt_strike132.flac,,64.453125,,93.75,,,,30.0,1060.4403097385095,1696.7845567849954,1652.922077922078,4.050938878208399e-05,,0.28
gruner_markt,gruner_markt_strike069.flac,gruner_markt_strike069.flac,,70.3125,,111.328125,134.765625,,,,927.2973337817672,1474.9136079269078,1506.0267857142858,2.3719174350844696e-05,,0.255
gruner_markt,gruner_markt_strike062.flac,gruner_markt_strike062.flac,99.609375,181.640625,228.515625,304.6875,392.578125,major,397.4470901704477,30.0,1090.176024687271,1750.315804199199,1621.996753246753,3.6336910852696747e-05,2.552909829552277,0.253
gruner_markt,gruner_markt_strike038.flac,gruner_markt_strike038.flac,111.328125,228.515625,304.6875,304.6875,468.75,major,498.0449991346125,18.236310341953967,1177.136131536572,1718.7085336593132,1871.469155844156,5.2785031584789976e-05,98.04499913461251,0.242
gruner_markt,gruner_markt_strike144.flac,gruner_markt_strike144.flac,181.640625,392.578125,468.75,656.25,861.328125,minor,307.0066853155077,0.140832719711156,978.10085965899,1450.9192024843717,1625.831117021277,7.378345617325976e-05,7.006685315507696,0.241
gruner_markt,gruner_markt_strike073.flac,gruner_markt_strike073.flac,,87.890625,105.46875,,193.359375,minor,315.6412870005525,18.60070692594565,836.6441433748064,1366.6263545893198,1384.0300324675325,5.756993414252065e-05,15.641287000552495,0.239
gruner_markt,gruner_markt_strike143.flac,gruner_markt_strike143.flac,87.890625,181.640625,,275.390625,392.578125,,,0.140832719711156,965.9211929954722,1421.1741984005876,1606.5999034749034,6.702388054691255e-05,,0.238
gruner_markt,gruner_markt_strike048.flac,gruner_markt_strike048.flac,87.890625,181.640625,228.515625,304.6875,363.28125,major,397.4470901704477,30.0,1218.9492828335178,1747.4016923847807,1866.2337662337663,8.08597105788067e-05,2.552909829552277,0.237
gruner_markt,gruner_markt_strike068.flac,gruner_markt_strike068.flac,,93.75,,128.90625,,,,,936.4285485467028,1488.7916468596434,1515.6452922077922,3.76024327124469e-05,,0.222
gruner_markt,gruner_markt_strike041.flac,gruner_markt_strike041.flac,,70.3125,93.75,93.75,,major,498.0449991346125,30.0,1016.3648017329838,1394.9276775016529,1585.8969155844156,2.3533413695986383e-05,98.04499913461251,0.215
gruner_markt,gruner_markt_strike074.flac,gruner_markt_strike074.flac,,87.890625,,134.765625,181.640625,,,30.0,835.1454598952175,1394.395137006441,1350.0608766233763,3.2485215342603624e-05,,0.214
gruner_markt,gruner_markt_strike052.flac,gruner_markt_strike052.flac,,181.640625,228.515625,275.390625,392.578125,major,397.4470901704477,0.7715528445040042,1128.684450252791,1790.0714140182706,1687.8652597402595,4.793474363395944e-05,2.552909829552277,0.211
karmelite_kloster,karmelite_kloster_strike001.wav,karmelite_kloster_strike001.wav,,515.625,615.234375,755.859375,1037.109375,minor,305.7766788345904,30.0,1735.760543967919,1615.9973913882486,2968.7702922077924,0.0106698693707585,5.776678834590427,0.301
karmelite_kloster,karmelite_kloster_strike002.wav,karmelite_kloster_strike002.wav,228.515625,515.625,615.234375,826.171875,1037.109375,minor,305.7766788345904,30.0,1646.6296937252491,1550.8762543969624,2731.716720779221,2.830612174875569e-05,5.776678834590427,1.0
karmelite_kloster,karmelite_kloster_strike003.wav,karmelite_kloster_strike003.wav,,52.734375,,,,,,30.0,1683.5822986838384,1615.564518145439,2808.3100558659216,5.991864964016713e-05,,0.389
karmelite_kloster,karmelite_kloster_strike004.wav,karmelite_kloster_strike004.wav,257.8125,515.625,615.234375,826.171875,1042.96875,minor,305.7766788345904,,1684.8351806302298,1622.6392252021597,2806.3898346303504,6.279721856117249e-05,5.776678834590427,0.081
karmelite_kloster,karmelite_kloster_strike005.wav,karmelite_kloster_strike005.wav,257.8125,515.625,615.234375,837.890625,1037.109375,minor,305.7766788345904,30.0,1721.1726941756388,1673.9686334521757,2884.2117537313434,0.0001118454820243,5.776678834590427,0.396
obere_pfarre,obere_pfarre_strike001.wav,obere_pfarre_strike001.wav,,64.453125,,93.75,140.625,,,25.8240715020412,1502.3338000352633,2124.2508318526307,2873.8839285714284,0.0001492876472184,,0.984
obere_pfarre,obere_pfarre_strike002.wav,obere_pfarre_strike002.wav,,64.453125,,93.75,140.625,,,2.791221948648755,1534.0687968820282,2232.6059088178863,2795.637175324676,0.0001990914752241,,0.354
obere_pfarre,obere_pfarre_strike003.wav,obere_pfarre_strike003.wav,,128.90625,146.484375,193.359375,275.390625,minor,221.3094853649131,24.231711608749485,1553.8284612888192,2420.304891356449,2809.151785714286,0.0003014449321199,78.69051463508691,0.221
obere_pfarre,obere_pfarre_strike004.wav,obere_pfarre_strike004.wav,,128.90625,158.203125,205.078125,275.390625,major,354.5470602314056,,1431.6990015911383,2446.110762986484,2608.198051948052,0.0002864807902369,45.452939768594376,0.159
obere_pfarre,obere_pfarre_strike005.wav,obere_pfarre_strike005.wav,,70.3125,,,128.90625,,,13.505199077954964,1380.872533427506,2394.023255661805,2543.912337662337,0.0002552799705881,,0.226
obere_pfarre,obere_pfarre_strike006.wav,obere_pfarre_strike006.wav,,87.890625,,128.90625,181.640625,,,2.641701541906514,1340.8406813256406,2288.177513065319,2547.0779220779223,0.0001931065926328,,0.172
obere_pfarre,obere_pfarre_strike007.wav,obere_pfarre_strike007.wav,,58.59375,,87.890625,128.90625,,,5.312601969990631,1351.8117519585526,2290.33967957304,2551.836053412463,0.0001938011846505,,0.362
obere_pfarre,obere_pfarre_strike008.wav,obere_pfarre_strike008.wav,,82.03125,,134.765625,175.78125,,,5.312601969990631,1354.0495231116686,2302.947044196748,2667.2872340425533,0.0002069067704724,,0.505
obere_pfarre,obere_pfarre_strike009.wav,obere_pfarre_strike009.wav,,58.59375,,87.890625,105.46875,,,5.312601969990631,1518.8616740012772,2580.3550503239794,2896.7013888888887,0.0003734507190529,,1.0
pestallozistrasse,pestallozistrasse_strike004.flac,pestallozistrasse_strike004.flac,,70.3125,,105.46875,128.90625,,,30.0,1228.1539072387222,1843.8244179803232,2213.581730769231,1.6002310076146387e-05,,0.679
