bell_id,strike_num,file,f_hum,f_prime,f_tierce,f_quint,f_nominal,tierce_type,tierce_cents,t60,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_flatness
st_stephan,st_stephan_strike003.wav,st_stephan_strike003.wav,,328.125,380.859375,451.171875,,minor,258.01546916502065,,1360.4879162128316,1926.99319264447,2326.7654220779223,6.866158946650103e-05
st_stephan,st_stephan_strike004.wav,st_stephan_strike004.wav,,333.984375,380.859375,462.890625,632.8125,minor,227.37335863645535,,1345.114000556028,1796.8996188968435,2309.598214285714,7.870825356803834e-05
st_stephan,st_stephan_strike005.wav,st_stephan_strike005.wav,,328.125,380.859375,445.3125,673.828125,minor,258.01546916502065,30.0,1385.2887646908755,1833.7092950743483,2410.714285714286,9.216163016390055e-05
st_stephan,st_stephan_strike006.wav,st_stephan_strike006.wav,,310.546875,339.84375,457.03125,562.5,minor,156.07264867724749,,1307.2631669218297,1645.7785142580028,2295.292207792208,2.904901521105785e-05
st_stephan,st_stephan_strike007.wav,st_stephan_strike007.wav,181.640625,328.125,380.859375,445.3125,585.9375,minor,258.01546916502065,30.0,1292.4841968741457,1654.8019965250571,2283.116883116883,4.160994285484776e-05
st_stephan,st_stephan_strike008.wav,st_stephan_strike008.wav,,333.984375,380.859375,556.640625,738.28125,minor,227.37335863645535,18.220626182044,1215.267783325848,1568.5369732502131,2083.0762987012986,7.913874287623912e-05
st_stephan,st_stephan_strike009.wav,st_stephan_strike009.wav,181.640625,345.703125,451.171875,562.5,744.140625,major,460.9721895996722,30.0,1211.861530139541,1581.9785725452878,2102.556818181818,2.7396472432883456e-05
st_stephan,st_stephan_strike010.wav,st_stephan_strike010.wav,,328.125,410.15625,462.890625,585.9375,major,386.3137138648348,30.0,1193.319895314448,1553.897960851901,2037.5339673913045,3.765011570067145e-05
st_stephan,st_stephan_strike011.wav,st_stephan_strike011.wav,146.484375,328.125,363.28125,462.890625,632.8125,minor,176.20966599512542,2.226479249202363,1207.9855815385902,1508.7921223536318,2145.111386138614,7.405343785649166e-05
st_stephan,st_stephan_strike012.wav,st_stephan_strike012.wav,,333.984375,380.859375,451.171875,732.421875,minor,227.37335863645535,2.226479249202363,1174.1364638181071,1420.6852042625774,2015.1909722222224,0.0001480421633459
st_stephan_2,st_stephan_2_strike013.flac,st_stephan_2_strike013.flac,,246.09375,275.390625,333.984375,462.890625,minor,194.7257146786525,,1139.4265820533142,1663.5470636615178,1929.9879807692307,3.546432708390057e-05
gruner_markt,gruner_markt_strike001.flac,gruner_markt_strike001.flac,216.796875,468.75,597.65625,755.859375,996.09375,major,420.5966965009598,,1434.992977348807,2217.033128022587,2280.377435064935,0.00014959750114940107
gruner_markt,gruner_markt_strike002.flac,gruner_markt_strike002.flac,275.390625,597.65625,750.0,990.234375,,major,393.08958963420525,,1266.1525336347222,1896.6270992708562,1931.9805194805194,7.744879258098081e-05
gruner_markt,gruner_markt_strike003.flac,gruner_markt_strike003.flac,,52.734375,,87.890625,111.328125,,,30.0,1178.17124373791,1756.8225603905519,1740.7670454545455,5.233014962868765e-05
gruner_markt,gruner_markt_strike004.flac,gruner_markt_strike004.flac,152.34375,275.390625,345.703125,433.59375,509.765625,major,393.66503722104454,30.0,1158.755462758264,1727.3021525469853,1691.1525974025974,6.480600131908432e-05
